Date,Open,High,Low,Close,Adj Close,Volume
1/3/2017,1155.2,1160.8,1146.5,1160.4,1160.4,52
1/4/2017,1156.3,1165,1156.3,1163.8,1163.8,36
1/5/2017,1172,1183.3,1171.5,1179.7,1179.7,500
1/6/2017,1176.5,1176.5,1171.9,1171.9,1171.9,16
1/9/2017,1173.9,1183.6,1173,1183.5,1183.5,62
1/10/2017,1184.3,1188.9,1182.3,1184.2,1184.2,8
1/11/2017,1187.5,1197,1176.5,1195.6,1195.6,20
1/12/2017,1192.7,1204.3,1192.3,1198.9,1198.9,110
1/13/2017,1195.7,1196,1187.7,1195.3,1195.3,65
1/17/2017,1205.5,1214.6,1200.8,1212.0,1212,79
1/18/2017,1213.6,1214.7,1203.1,1211.3,1211.3,114
1/19/2017,1200.5,1204,1195.8,1200.9,1200.9,26
1/20/2017,1202.8,1212.1,1202.8,1204.3,1204.3,38
1/23/2017,1212,1215,1210,1215.0,1215,16
1/24/2017,1219,1219,1207.7,1210.3,1210.3,24
1/25/2017,1202,1202.8,1194.9,1197.3,1197.3,403
1/26/2017,1199.7,1199.7,1185.6,1189.5,1189.5,19
1/27/2017,1187.9,1188.3,1187.9,1188.1,1188.1,234352
1/30/2017,1191.7,1198.5,1187.1,1193.2,1193.2,50503
1/31/2017,1194.9,1214.7,1193.5,1208.6,1208.6,3212
2/1/2017,1211.9,1211.9,1197.9,1205.6,1205.6,1145
2/2/2017,1209.7,1224.2,1208.9,1216.7,1216.7,1512
2/3/2017,1214.9,1220.6,1206.2,1218.5,1218.5,865
2/6/2017,1221.9,1235.4,1218.5,1230.0,1230,908
2/7/2017,1234.2,1236.2,1228.5,1234.2,1234.2,1177
2/8/2017,1232.1,1243.9,1231,1237.6,1237.6,288
2/9/2017,1239.4,1243.5,1226.9,1235.1,1235.1,885
2/10/2017,1227.6,1234.4,1221.5,1234.4,1234.4,391
2/13/2017,1230.5,1231.1,1219,1224.4,1224.4,398
2/14/2017,1225.9,1233.5,1222.1,1223.9,1223.9,159
2/15/2017,1225.5,1231.7,1217.3,1231.7,1231.7,175
2/16/2017,1234.5,1240.7,1233.2,1240.0,1240,87
2/17/2017,1240.7,1241.2,1234.8,1237.6,1237.6,301
2/21/2017,1237.3,1237.5,1228.1,1237.5,1237.5,119
2/22/2017,1236.1,1238.6,1231.8,1232.0,1232,36
2/23/2017,1236.1,1250.3,1236.1,1250.2,1250.2,112
2/24/2017,1250,1258.8,1250,1256.9,1256.9,1264
2/27/2017,1254.7,1263.1,1250.4,1257.4,1257.4,544
2/28/2017,1253.6,1257.3,1247.2,1252.6,1252.6,721
3/1/2017,1247.8,1248.9,1236.9,1248.9,1248.9,138
3/2/2017,1247.2,1247.6,1230.7,1231.9,1231.9,79
3/3/2017,1231.7,1235.2,1222.9,1225.5,1225.5,121
3/6/2017,1235.2,1235.2,1224.5,1224.5,1224.5,29
